Order ID,Date,Category,Sub-Category,Product,Region,State,Sales,Quantity,Discount,Profit
1001,2024-01-05,Technology,Phones,Samsung Galaxy S23,West,California,1200.50,2,0.1,320.00
1002,2024-01-08,Furniture,Chairs,Ergonomic Office Chair,East,New York,450.00,1,0.05,90.00
1003,2024-01-12,Office Supplies,Binders,Heavy Duty Binder,South,Texas,35.00,5,0.0,12.00
1004,2024-01-15,Technology,Laptops,Dell Inspiron 15,West,California,980.00,1,0.15,210.00
1005,2024-01-20,Furniture,Tables,Conference Table,North,Illinois,1500.00,1,0.0,300.00
1006,2024-02-03,Office Supplies,Paper,A4 Paper Ream,East,New York,25.00,10,0.0,8.00
1007,2024-02-07,Technology,Accessories,Wireless Mouse,South,Florida,45.00,3,0.05,15.00
1008,2024-02-14,Furniture,Bookcases,5-Shelf Bookcase,West,California,320.00,2,0.1,64.00
1009,2024-02-18,Technology,Phones,iPhone 15 Pro,East,New York,1399.00,1,0.0,420.00
1010,2024-02-22,Office Supplies,Pens,Ball Point Pen Set,North,Illinois,18.00,8,0.0,6.00
1011,2024-03-01,Technology,Monitors,LG 27inch Monitor,West,California,399.00,2,0.1,88.00
1012,2024-03-05,Furniture,Chairs,Visitor Chair,South,Texas,220.00,4,0.05,44.00
1013,2024-03-10,Office Supplies,Binders,Ring Binder A4,East,New York,12.00,15,0.0,4.00
1014,2024-03-15,Technology,Laptops,HP Pavilion 14,North,Illinois,750.00,1,0.1,150.00
1015,2024-03-20,Furniture,Tables,Study Desk,South,Florida,280.00,2,0.0,56.00
1016,2024-04-02,Office Supplies,Paper,Legal Pad Pack,West,California,30.00,6,0.0,10.00
1017,2024-04-08,Technology,Accessories,USB-C Hub,East,New York,65.00,5,0.05,20.00
1018,2024-04-14,Furniture,Bookcases,2-Shelf Bookcase,South,Texas,150.00,3,0.0,30.00
1019,2024-04-20,Technology,Phones,OnePlus 12,North,Illinois,799.00,1,0.1,180.00
1020,2024-04-25,Office Supplies,Pens,Marker Set,West,California,22.00,10,0.0,8.00
1021,2024-05-03,Technology,Monitors,Samsung 24inch,South,Florida,299.00,3,0.1,66.00
1022,2024-05-09,Furniture,Chairs,Gaming Chair,East,New York,550.00,1,0.05,110.00
